case,replicate_id,com_scale,time,altitude,attitude_error,motor_utilization,servo_angle,servo_rate,a1_min_singular,a1_condition,force_residual,torque_residual,com_error,dob_norm
success,2,1.22,-12.2225,0.39773696016042576,0.3453777433460032,0.33191343030056913,0.6698208727900095,2.1823153563406263,0.8774000744735825,1.264494701722666,20.270064229348122,4.753478534187469,0.07565916760295552,0.0
success,2,1.22,-12.1975,0.4036953817159143,0.349726936100202,0.3304456814829382,0.6659343832132395,1.450100822641298,0.8774711470815236,1.2619019342967543,20.92748409233212,4.7299637521065065,0.07565916760295552,0.0026417911860246216
success,2,1.22,-12.1725,0.40946881874824825,0.35503729115173016,0.3323173293016305,0.6662532463988903,1.2624262143031453,0.8763897435809281,1.263040556088273,20.81432755003046,4.713802370430016,0.07565916760295552,0.01774782468754897
success,2,1.22,-12.1475,0.41547739788151256,0.35962841887235764,0.3310113440363137,0.6716088654049402,0.2707836111163525,0.8747087764005378,1.265747173576712,20.82179845714396,4.714601201427123,0.07565916760295552,0.0453781799954884
success,2,1.22,-12.122499999999999,0.42182152373293746,0.3620118787995038,0.3364378273718474,0.6735029719561323,0.6971066433238513,0.8731042207446534,1.2689066051135054,20.962094537965303,4.710165137912767,0.07565916760295552,0.08469765094034967
success,2,1.22,-12.0975,0.42775293807412335,0.3670734313301532,0.3407256975074305,0.6772085709463646,1.002926513031421,0.8714924970067897,1.2711050009446228,21.05047251332051,4.717053812966822,0.07565916760295552,0.13482975988076437
success,2,1.22,-12.0725,0.4337640632597722,0.370287034474778,0.34089948183573276,0.6803198103531055,1.1874836112837936,0.8699627382855983,1.2741314345414285,21.2442156120344,4.614508708185515,0.07565916760295552,0.19499471246905456
success,2,1.22,-12.0475,0.43951994035460323,0.3747439504672999,0.33939755868036414,0.6828286014127829,0.6295999696402154,0.8682734023122031,1.277670383299215,20.9988780936298,4.665710258818205,0.07565916760295552,0.26438569536887907
success,2,1.22,-12.0225,0.4447569071853697,0.37895219841801775,0.34474929311500424,0.6844171928440662,0.9108021545504421,0.8668574061124575,1.2806154572755915,21.536057570441233,4.681480735428129,0.07565916760295552,0.3420739271277546
success,2,1.22,-11.997499999999999,0.45048856093432543,0.3807638444422241,0.3407622404331001,0.6853089827376008,0.5590705448520055,0.8656800610865244,1.2825884055056895,21.602051713497847,4.547085014293181,0.07565916760295552,0.427349881840856
success,2,1.22,-11.9725,0.4562861076985884,0.38434600571938743,0.3298064939429418,0.6860278443477059,0.6992426802886756,0.8631727072544189,1.2895302714331918,21.239309437024385,4.712794542804068,0.07565916760295552,0.5194060018772744
success,2,1.22,-11.9475,0.46152206030152493,0.3868562101283535,0.3151440813439307,0.6858239539181685,0.7241633898394937,0.8620143217544288,1.2923964720272694,20.933474333456395,4.765754338183973,0.07565916760295552,0.6174243115408947
success,2,1.22,-11.9225,0.46701681303300435,0.3906181406731358,0.30976217189131067,0.6860681525403013,0.6711465681990333,0.8613799025116554,1.2937902427945325,20.782099465888166,4.768530818238113,0.07565916760295552,0.7207570605872373
success,2,1.22,-11.8975,0.4723627362556891,0.3929057586426645,0.30582655430309047,0.6805269060469842,0.8580370561364778,0.8627288785666429,1.290090729802514,21.256579337210468,4.755029846869645,0.07565916760295552,0.8290826551154516
success,2,1.22,-11.872499999999999,0.47752526012278335,0.3961312065408134,0.30372200841009994,0.6773736855897327,0.6970842846630063,0.8635359337247578,1.288117661549256,21.313921878021524,5.006119028567468,0.07565916760295552,0.9416806485027429
success,2,1.22,-11.8475,0.4826376007983695,0.40113095411407174,0.30371243069667075,0.6795703582284749,0.7021848254675398,0.865202751053943,1.2840697775653538,21.4517460729813,4.838542692662676,0.07565916760295552,1.058224043659846
success,2,1.22,-11.8225,0.48764121489201034,0.401080381891177,0.30846838388592474,0.6808090340921734,0.8105621490017537,0.8666194257241816,1.280996305367365,21.697078280415845,4.8415351310668875,0.07565916760295552,1.178148103592543
success,2,1.22,-11.7975,0.49239995002221576,0.4053579476918828,0.3080107111373347,0.6816200888363682,0.7240935609237845,0.8684270863181636,1.276948446273337,22.201582917482757,4.834849584103443,0.07565916760295552,1.3009357928797478
success,2,1.22,-11.7725,0.4972629986057496,0.4078168773938701,0.3141568067464488,0.6821854925310014,0.6788582743717094,0.8697019820076225,1.2743805276047104,22.039426874916156,4.659258046387695,0.07565916760295552,1.4262767595771855
success,2,1.22,-11.747499999999999,0.5011811021854998,0.41096884482253493,0.32273425083155854,0.6823381681807268,0.5977410297767045,0.8703648249197601,1.2733908431935728,22.60685149530591,4.7015512895170914,0.07565916760295552,1.553576107909224
success,2,1.22,-11.7225,0.5048114102431493,0.4111560956713509,0.33021954563323896,0.6829907470274659,0.527706704580438,0.8696005255859743,1.275907356645284,22.537827597448967,4.715671481773153,0.07565916760295552,1.6824349390375841
success,2,1.22,-11.6975,0.5083726688798348,0.41273503311459087,0.33392464930964766,0.683160661558299,0.5656219220829832,0.8673742222565217,1.2820455542378983,22.576567267373857,4.638386935988881,0.07565916760295552,1.8123062434289703
success,2,1.22,-11.6725,0.5120050967491612,0.4168792279705472,0.34290152710847926,0.6833208207931817,0.5637993903261365,0.8670273859665706,1.28312322690513,22.015980023894116,4.628691812223504,0.07565916760295552,1.9426902155470047
success,2,1.22,-11.6475,0.5150196003645595,0.4177170534217424,0.3435003812384818,0.6837156006071836,0.4719333076422189,0.8658334188668845,1.2863323909991162,22.125769250825467,4.6296731378111335,0.07565916760295552,2.073071911128117
success,2,1.22,-11.622499999999999,0.5183732261723454,0.4183127981747906,0.34518911072642255,0.6839632155305473,0.5684112455301739,0.8653179974780824,1.287724085380234,21.885668374237643,4.728089886333373,0.07565916760295552,2.203219032784739
success,2,1.22,-11.5975,0.5215325514515372,0.41908831388245515,0.34564714127352253,0.6840807207264991,0.33606728414075104,0.8647515776194201,1.2894195567371987,21.86925956389125,4.696137123948041,0.07565916760295552,2.3329315978323835
success,2,1.22,-11.5725,0.5251776588386017,0.4208068849726808,0.3433930898859008,0.6841905213869713,0.7256312432812551,0.866031375451102,1.2861610797349279,21.98194196567961,4.667875445999987,0.07565916760295552,2.4616881002582747
success,2,1.22,-11.5475,0.5276765555891306,0.421191933491326,0.3468602966853087,0.6844182225899309,0.7820505425676134,0.8682876362854158,1.2803663310098465,21.741116840244473,4.705421416530108,0.07565916760295552,2.589493944431099
success,2,1.22,-11.5225,0.5309049379892262,0.423129249233097,0.345350814291584,0.6844694430958683,0.5762715129322064,0.8701729926595101,1.2756982896292952,22.24119880909016,4.731753528048756,0.07565916760295552,2.7159140018304835
success,2,1.22,-11.497499999999999,0.5332344723799727,0.4219432600122063,0.34675111936698527,0.6843760675596776,0.7191462538293931,0.8727945294197139,1.2690444690515574,21.99863643385088,4.647669938261976,0.07565916760295552,2.8408697077365566
success,2,1.22,-11.4725,0.5360640362842535,0.4220660736699453,0.34802398956367114,0.6845717543910107,0.8984198913962971,0.8749943986219133,1.263958996160609,21.930093645645172,4.5975054434499025,0.07565916760295552,2.964070572933204
success,2,1.22,-11.4475,0.5385532594969094,0.4214315396867768,0.35385632759386687,0.6845678317231937,0.35832311677637585,0.8762970062656614,1.261483805746701,22.500210922091807,4.799031830879695,0.07565916760295552,3.0853907667919294
success,2,1.22,-11.4225,0.5408128434749617,0.4213775482511234,0.36532890592338746,0.6846229997609172,0.5415402651599682,0.8782104938231663,1.258797750157776,22.591721162199924,4.657903680961986,0.07565916760295552,3.204787713565224
success,2,1.22,-11.3975,0.5431452710942558,0.4204469365833355,0.37252720534848976,0.6848313176215931,0.13255140280368644,0.8780330492987258,1.2592464905456258,22.756249498651737,4.626443555935047,0.07565916760295552,3.321964931121531
success,2,1.22,-11.372499999999999,0.5454948455386467,0.4197415053201149,0.3852050671350977,0.6853098596958578,0.16869796154113356,0.8777102894733407,1.259792216937239,22.54964455231466,4.569741433094467,0.07565916760295552,3.436765591735501
success,2,1.22,-11.3475,0.5472989210524459,0.4183058714005112,0.3795631109562917,0.6856571510845546,0.412928393931582,0.8767420269120124,1.2612124137611234,22.577433838879408,4.64764138711543,0.07565916760295552,3.5490512037282604
success,2,1.22,-11.3225,0.5495062270975011,0.4161566170236167,0.37473528457893657,0.6856987831322097,0.12366184634895712,0.8746625081323357,1.2645494163366724,22.89527179725309,4.76546027498795,0.07565916760295552,3.658624455480642
success,2,1.22,-11.2975,0.5507754214971904,0.41206989048343895,0.3752443979556849,0.6858637264746068,0.6185250269875764,0.8768456244599935,1.2610035513019275,22.9873749803552,4.773956142057068,0.07565916760295552,3.7115819022671412
failure,2,1.24,-14.9975,0.22887432790044707,0.0004078180750914209,0.0,4.4621695706571974e-05,0.0,0.9999943810320819,1.0000117573540324,47.011787322767475,0.060375405311518804,0.07565916760295552,0.0
failure,2,1.24,-14.9725,0.22553059547834392,0.0009440419749087487,0.11192844337938145,0.00034087405442586276,0.09162152354553134,0.9999520598169035,1.0000976954452183,36.305665582488274,0.8045889236682483,0.07565916760295552,0.0
failure,2,1.24,-14.9475,0.21839677904310464,0.002447852284085887,0.1890364113910988,0.0011807872864993902,0.11752538038616846,0.9998642375711807,1.000298489383983,25.039251062905397,2.0074606860356363,0.07565916760295552,0.0
failure,2,1.24,-14.9225,0.2101341074191102,0.006149521555503668,0.22699839863651156,0.0006327404987974302,0.1909989923946835,0.9999077725261524,1.0001884153426348,18.715578462697113,1.2802852874923838,0.07565916760295552,0.0
failure,2,1.24,-14.8975,0.20654016466968741,0.003463548499513116,0.21789021793856939,0.004605180529984468,0.18681554217027205,0.9992918626852433,1.0013824549558816,7.818420181566293,1.3861521787405653,0.07565916760295552,0.0
failure,2,1.24,-14.8725,0.20764657653271762,0.004480405578820673,0.18189653352050564,0.009233208221184801,0.1401292142931666,0.998536756496817,1.0028893849034461,11.75915861691845,2.103823354905315,0.07565916760295552,0.0
failure,2,1.24,-14.8475,0.20837781039632045,0.0025337771207318525,0.17176430077803664,0.02596179003469728,1.1220218872010146,0.995957554117034,1.0080136174890275,15.81180844116212,1.752638238456926,0.07565916760295552,0.0
failure,2,1.24,-14.8225,0.20892861700170887,0.0019250953958377087,0.1812463408155219,0.022716947731740836,0.6895092140555834,0.9963495752671934,1.0071780885634996,14.758153488637639,1.6058171049138885,0.07565916760295552,0.0
failure,2,1.24,-14.7975,0.20906136399237046,0.0033874694723255985,0.17286563166461166,0.006940122655676738,0.5660848266593002,0.99886480930754,1.0021374784024242,15.60235217857681,1.315652286542759,0.07565916760295552,0.0
failure,2,1.24,-14.7725,0.2095975337038243,0.0023592096970717976,0.1766504323302889,0.003438486625741986,0.12500117037029201,0.9995187096261942,1.000829698610815,15.617672434781433,1.4181884285622897,0.07565916760295552,0.0
failure,2,1.24,-14.7475,0.2088688865481608,0.0025818650741658944,0.17748519454454692,0.002804883303737105,0.20534277325367253,0.9998104927441432,1.0003636777497569,15.027554994179441,1.9842274768775996,0.07565916760295552,0.0
failure,2,1.24,-14.7225,0.2089767048945434,0.0022215279651303134,0.17781545411131083,0.006941763647746682,0.40526386566974765,0.9989074519351501,1.0020621242654757,15.06534686413417,1.4568283279029044,0.07565916760295552,0.0
failure,2,1.24,-14.6975,0.2090025916190894,0.002796414800220881,0.17693597178877185,0.006227596451414337,0.17572647396011865,0.9990480508525361,1.00177900028278,15.438276003737593,1.605555245039473,0.07565916760295552,0.0
failure,2,1.24,-14.6725,0.20896931766215784,0.0024657069619550246,0.17651540637660562,0.004127868665987217,0.1430233488650044,0.999608305126965,1.0008996237376437,15.333966029126795,1.8691891897669817,0.07565916760295552,0.0
failure,2,1.24,-14.6475,0.20937791812596163,0.00210042826593098,0.1766044331834381,0.004766360192182093,0.1947771921231538,0.9994656850774639,1.0011570889551362,14.963214973790537,1.57897544084367,0.07565916760295552,0.0
failure,2,1.24,-14.6225,0.20938374441429775,0.0019695668762925215,0.17655621605180954,0.004398879011551063,0.0349442597273193,0.9995492724145337,1.0010222749336277,15.540759148637402,1.5376215051308033,0.07565916760295552,0.0
failure,2,1.24,-14.5975,0.2090595520704474,0.0018901864160474542,0.17868052496294845,0.003757225281355281,0.25301636105386704,0.9995254565198134,1.000838991150067,15.500088730042869,1.6023663511828907,0.07565916760295552,0.0
failure,2,1.24,-14.5725,0.20936281836114592,0.0029635674601300715,0.17778693879801144,0.0040654056261487815,0.12187129334438729,0.9995388056554768,1.0009723133633466,15.668640623244084,1.601771895858518,0.07565916760295552,0.0
failure,2,1.24,-14.5475,0.2094746729818386,0.002524131478834755,0.17768006052346685,0.003166361603113317,0.17051960703734667,0.9997635759282739,1.0005921035825847,15.95564795330469,1.5575072031297577,0.07565916760295552,0.0
failure,2,1.24,-14.5225,0.2092153164395629,0.001854833236050672,0.17736873831869404,0.003875727793961926,0.13078340600628444,0.9996492564972489,1.000831019000327,15.711523809129782,1.628343684503973,0.07565916760295552,0.0
failure,2,1.24,-14.4975,0.20935855541861037,0.0021115198256700346,0.17925705922171375,0.0036704383205101968,0.043228031320975205,0.9996765668549215,1.0007747958897786,15.460364737358924,1.7394096478999823,0.07565916760295552,0.0
failure,2,1.24,-14.4725,0.20903428244936542,0.0019226034982978463,0.18107906904611873,0.004284913647033451,0.04602292614827079,0.9995667210655919,1.0009862124016715,15.410289024335556,1.5437443797522181,0.07565916760295552,0.0
failure,2,1.24,-14.4475,0.2094798975810594,0.0009868441117790836,0.17963299771114266,0.004039995042313002,0.11850085341698804,0.9995849090662695,1.0009418152832974,15.744198353558907,1.8985000641680028,0.07565916760295552,0.0
failure,2,1.24,-14.4225,0.20907949957656577,0.001751763450140106,0.1800926997038195,0.003620379517215394,0.12001828696776409,0.9996744152404893,1.0007718994431558,15.706100870454003,1.6988060974477313,0.07565916760295552,0.0
failure,2,1.24,-14.3975,0.2090435973805738,0.002659787164102507,0.18023997756614635,0.004240652925012873,0.14436032619912767,0.9995344645788273,1.0010431310253654,16.349025796612676,1.5219552207467772,0.07565916760295552,0.0
failure,2,1.24,-14.3725,0.2092938681835007,0.0019706954990077012,0.1824537660836888,0.0030775987595192886,0.11956237304046205,0.999705251921654,1.000690291351402,16.136717459463636,1.8489568180353373,0.07565916760295552,0.0
failure,2,1.24,-14.3475,0.20922590657830312,0.0025312461841751938,0.18430553893470825,0.0033805485283662563,0.05780915363753771,0.9996776210944442,1.000749655861266,15.950232218033939,1.5557534876829158,0.07565916760295552,0.0
failure,2,1.24,-14.3225,0.20947519450626417,0.0020633442276526267,0.18454500706971758,0.0036203429754279952,0.13839242268966373,0.9996413461914719,1.0008256101210904,16.047585240835318,1.7221304954984797,0.07565916760295552,0.0
failure,2,1.24,-14.2975,0.2090979935862907,0.0021286605501596293,0.18801508402949088,0.003241252025896167,0.13048129606013942,0.9995902498656464,1.0007723105281834,16.278589014443984,1.8740517044544722,0.07565916760295552,0.0
failure,2,1.24,-14.2725,0.2091711287135153,0.002602586809752741,0.18705022305707414,0.004092828785623962,0.22951889479384827,0.9994648578196934,1.0009536050909287,16.532255793270807,1.498635100817404,0.07565916760295552,0.0
failure,2,1.24,-14.2475,0.20915700206443766,0.0015844476922730645,0.18631371322914572,0.003768761639706259,0.09124622519024021,0.999516720812217,1.0009464351222896,16.341388697045584,1.4345255972659132,0.07565916760295552,0.0
failure,2,1.24,-14.2225,0.20905539330005693,0.0021495532962042298,0.18659883395267923,0.0038389377530451446,0.10183683604044763,0.9994918942821334,1.0009657791367519,16.638074924667375,1.9818563210652238,0.07565916760295552,0.0
failure,2,1.24,-14.1975,0.208944091491498,0.0016541748864486424,0.1905687569886961,0.0049386923318158905,0.13242879280676367,0.9993239320486015,1.0012451816125816,16.130180185493458,1.908860335991507,0.07565916760295552,0.0
failure,2,1.24,-14.1725,0.20916196978925716,0.0021949874787640477,0.1914495571425603,0.005739277268872807,0.13468144097139062,0.9991798714562893,1.0015303656063612,16.53346358077214,1.9489035794665563,0.07565916760295552,0.0
failure,2,1.24,-14.1475,0.20910753902061352,0.0016623543634143824,0.191832746456276,0.0066903322276198815,0.06478840129020876,0.9990269832875874,1.001834435790888,16.647136771691333,1.7748043002973226,0.07565916760295552,0.0
failure,2,1.24,-14.1225,0.2092982243573677,0.0009365476357002446,0.19378954366738704,0.007014419101570061,0.1289750222041249,0.9989776542474593,1.0019337006524538,17.191670065056496,1.7012851326418423,0.07565916760295552,0.0
failure,2,1.24,-14.0975,0.2090229131115754,0.0022990574222494435,0.1963279861214878,0.007290985841608724,0.033125607414418626,0.9989019684471302,1.002095416949262,17.1046124181796,2.091346913863645,0.07565916760295552,0.0
failure,2,1.24,-14.0725,0.20889513378020844,0.0017767521547773421,0.19291273065889264,0.007656815752421693,0.10618955628196726,0.9988310862138693,1.0022498679917888,17.550780441193343,1.691735609452671,0.07565916760295552,0.0
failure,2,1.24,-14.0475,0.2091710933216593,0.0016661742253552168,0.19587481433750425,0.007017988843642021,0.05165540461630544,0.9989353925992517,1.0020408450874476,17.456328385773084,1.9017360030768296,0.07565916760295552,0.0
failure,2,1.24,-14.0225,0.20936984874016248,0.0019906302394918484,0.19913828652185647,0.00805428856254106,0.049155615596740344,0.9987801472765366,1.002349305600423,17.241507055740723,1.9582365107771535,0.07565916760295552,0.0
failure,2,1.24,-13.9975,0.20913404668398952,0.0021960264327665715,0.1977186224192269,0.009137122026452784,0.05494500392251543,0.9985942500574903,1.0027188505301627,17.639944111289815,1.783333632834787,0.07565916760295552,0.0
failure,2,1.24,-13.9725,0.20950652448051152,0.0010465386011977076,0.20159003613557178,0.009422178496997516,0.09580862105205933,0.9985403917017965,1.0028286308388894,17.59972670153091,1.9429463174979411,0.07565916760295552,0.0
